tournament_name,tournament_page_link,tournament_logo_link,tournament_format,tournament_stage,match_format,match_status,team1_page_link,team1_logo_link,team1,team1_score,team2_score,team2,team2_logo_link,team2_page_link,match_begin_time_UTC+0,match_url
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,"Upper Bracket, Round 1",Phase 2 Low Group,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/apogee,https://escorenews.com/media/logo/_90/t100442.png,Apogee Esports,0,0,Team Space,https://escorenews.com/media/logo/_90/t96770.png,https://escorenews.com/ru/csgo/team/space,2024-09-05 18:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/europe/apogee-vs-space-570407
ESL Impact S6,https://escorenews.com/ru/csgo/esl-impact-league-season-6,https://escorenews.com/media/event/_120/e8585.png,Group A,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/crescent-rus,https://escorenews.com/media/logo/_90/t100378.png,Crescent,0,0,Permitta W,https://escorenews.com/media/logo/_90/t99378.png,https://escorenews.com/ru/csgo/team/permitta-w,2024-09-05 17:30:00,https://escorenews.com/ru/csgo/esl-impact-league-season-6/europe/crescent-rus-vs-permitta-w-572273
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,"Upper Bracket, Round 1",Phase 2 Low Group,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/insilio,https://escorenews.com/media/logo/_90/t70677.png,Insilio,0,0,GUN5 Esports,https://escorenews.com/media/logo/_90/t97146.png,https://escorenews.com/ru/csgo/team/gun5,2024-09-05 18:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/europe/insilio-vs-gun5-570408
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,"Upper Bracket, Round 1",Phase 2 Low Group,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/qiang,https://escorenews.com/media/logo/_90/t100482.png,Qiang,0,0,Rebels Gaming,https://escorenews.com/media/logo/_90/t98174.png,https://escorenews.com/ru/csgo/team/rebels-pol,2024-09-05 18:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/europe/qiang-vs-rebels-pol-570405
Prodigy Series #2,https://escorenews.com/ru/csgo/prodigy-series-2,https://escorenews.com/media/event/_120/e9281.png,"Lower Bracket, Round 1",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/next-level,https://escorenews.com/media/logo/_90/t99738.png,TEAM NEXT LEVEL,0,0,GamerLegion Academy,https://escorenews.com/media/logo/_90/t97701.png,https://escorenews.com/ru/csgo/team/gamerlegion-academy,2024-08-30 14:00:00,https://escorenews.com/ru/csgo/prodigy-series-2/group-stage-a/next-level-vs-gamerlegion-academy-572615
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Upper Bracket, Round 2",Group C,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/quazar,https://escorenews.com/media/logo/_90/t86476.png,Team QUAZAR,0,0,Favbet Team,https://escorenews.com/media/logo/_90/t99671.png,https://escorenews.com/ru/csgo/team/favbet-team,2024-08-30 14:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/quazar-vs-favbet-team-571466
ESL Impact S6,https://escorenews.com/ru/csgo/esl-impact-league-season-6,https://escorenews.com/media/event/_120/e8585.png,Group B,Group Stage,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/nip-impact,https://escorenews.com/media/logo/_90/t92844.png,Ninjas in Pyjamas Impact,0,0,NAVI Javelins,https://escorenews.com/media/logo/_90/t90892.png,https://escorenews.com/ru/csgo/team/navi-javelins,2024-09-05 17:30:00,https://escorenews.com/ru/csgo/esl-impact-league-season-6/europe/nip-impact-vs-navi-javelins-572288
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,"Upper Bracket, Round 1",Phase 2 Low Group,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/betera,https://escorenews.com/media/logo/_90/t96893.png,Betera Esports,0,0,EYEBALLERS,https://escorenews.com/media/logo/_90/t91513.png,https://escorenews.com/ru/csgo/team/eyeballers,2024-09-05 18:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/europe/betera-vs-eyeballers-570406
ECL S48,https://escorenews.com/ru/csgo/esl-challenger-league-season-48,https://escorenews.com/media/event/_120/e7636.png,"Lower Bracket, Round 3",Phase 2 Mid Group,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/sinners-cz,https://escorenews.com/media/logo/_90/t45402.png,Sinners Esports,0,0,B8,https://escorenews.com/media/logo/_90/t85939.png,https://escorenews.com/ru/csgo/team/b8,2024-09-05 18:00:00,https://escorenews.com/ru/csgo/esl-challenger-league-season-48/europe/sinners-cz-vs-b8-529668
CCT S2 EU #11,https://escorenews.com/ru/csgo/cct-season-2-european-series-11,https://escorenews.com/media/event/_120/e9251.png,"Lower Bracket, Round 2",Group A,Best of 3,scheduled,https://escorenews.com/ru/csgo/team/nexus,https://escorenews.com/media/logo/_90/t5421.png,Nexus Gaming,0,0,Verdant,https://escorenews.com/media/logo/_90/t96745.png,https://escorenews.com/ru/csgo/team/verdant,2024-08-31 08:00:00,https://escorenews.com/ru/csgo/cct-season-2-european-series-11/closed-qualifier/nexus-vs-verdant-571458
