date,team1,team1_score,team2_score,team2
2024-08-29 23:30:00,FQR,2,0,Lumen
2024-08-29 23:30:00,TSM FEM,2,0,Lotus
2024-08-29 22:30:00,DR,2,1,NGG
2024-08-29 21:30:00,NRG,2,1,Nouns
2024-08-29 21:30:00,WG,2,0,PAS
2024-08-29 20:30:00,Atrix,2,0,Capivaras
2024-08-29 20:30:00,MiBR FEM,2,0,Peak Ac FEM
2024-08-29 19:30:00,SENSEI,2,0,Hawks
2024-08-29 18:40:00,EP,2*,0,GUN5
2024-08-29 18:30:00,Insilio,2,0,TS
2024-08-29 18:15:00,SSH,0,2,GUN5
2024-08-29 18:10:00,MOUZ,2,1,PNG
2024-08-29 18:00:00,9INE Ac,0,2,DASH
2024-08-29 17:45:00,Monte,2,1,NiP
2024-08-29 17:30:00,LHC,0,2,NAVI FEM
2024-08-29 17:30:00,BIG FEM,2,0,Crescent
2024-08-29 17:30:00,GO,1,2,AUR
2024-08-29 17:30:00,SAW,2,1,GL
2024-08-29 17:00:00,FLG,1,2,RUBY
2024-08-29 17:00:00,SIN Ac,0,1,SMP NXT
2024-08-29 07:00:00,FG,0,2,TRR
2024-08-29 07:00:00,NE,1,2,ONi
2024-08-29 06:00:00,THE,2,0,-72C
2024-08-29 06:00:00,ATOX,2,0,IHC
2024-08-29 06:00:00,Talon,2,0,MF
2024-08-29 01:30:00,LGC,2,0,FA
2024-08-28 23:30:00,Nouns FEM,2,0,Aware
2024-08-28 23:30:00,BOK,0,2,Imp
2024-08-28 21:10:00,RedC,2,1,FX
2024-08-28 21:10:00,EXL,0,2,FA
2024-08-28 21:10:00,BOSS,2,1,Elevate
2024-08-28 21:10:00,NRG,0,2,LGC
2024-08-28 20:55:00,MOUZ,2,0,EF
2024-08-28 20:30:00,FUR FEM,2,0,thekillaz
2024-08-28 20:30:00,FX FEM,2,0,inS FEM
2024-08-28 19:00:00,mYs,0,2,SNO
2024-08-28 18:00:00,CPHW,2,1,SUS
2024-08-28 17:45:00,9INE,2,0,DMS
2024-08-28 17:30:00,NIP FEM,2,0,ENCE FEM
2024-08-28 17:30:00,HSG,2,0,PER FEM
2024-08-29 12:20:00,PER,2,1,RNT
2024-08-29 12:00:00,KENLA,0,1,Nomads
2024-08-29 12:00:00,MOUZ NXT,2,1,TSM
2024-08-29 11:30:00,AYB,0,2,TS
2024-08-29 11:25:00,ONi,0,2,TRR
2024-08-29 11:00:00,FVB,2,1,GK
2024-08-29 11:00:00,AMKAL,1,2,PRV
2024-08-29 11:00:00,TYL,1,2,RA
2024-08-29 11:00:00,JJH,1,2,Superfkrs
2024-08-29 11:00:00,Bravado,0,2,DRILLAS
2024-08-29 10:00:00,GDR,0,1,AlEg
2024-08-29 09:30:00,B8,2,1,RNT
2024-08-29 09:00:00,ITB,2,0,ATN
2024-08-29 09:00:00,VP,2,1,FLC
2024-08-29 09:00:00,CW,0,1,GR
2024-08-29 09:00:00,RST,1,2,Talon
2024-08-29 08:30:00,SIN,2,0,ALL
2024-08-29 08:10:00,SMP,2,1,DNE
2024-08-29 08:00:00,QZR,2,0,MNT.G
2024-08-29 08:00:00,RA,2,0,Teamwork
2024-08-29 16:00:00,BRUTE,0,1,AND
2024-08-29 15:40:00,FUR,0,2,TS
2024-08-29 15:30:00,C9,2,0,Insilio
2024-08-29 15:00:00,DRILLAS,2,1,Superfkrs
2024-08-29 15:00:00,AVEZ,1,0,GLORE
2024-08-29 14:30:00,SMP,0,2,GG
2024-08-29 14:30:00,Z10,2,1,ITB
2024-08-29 14:10:00,CS,2,0,DMS
2024-08-29 14:00:00,GL Ac,0,2,FVB
2024-08-29 14:00:00,ATN,0,2,TS Ac
2024-08-29 14:00:00,NOM,0,1,OnR
2024-08-29 14:00:00,EP.Gen,1,0,LPH
2024-08-29 13:30:00,GUN5,2,1,NiP
2024-08-29 13:30:00,SSH,2,1,Monte
2024-08-29 13:30:00,GL,2,0,AUR
2024-08-29 13:30:00,SAW,2,0,GO
2024-08-29 12:55:00,EF,2,0,HEROIC
2024-08-29 12:35:00,Nomads,1,0,KENLA
2024-08-29 12:30:00,ATOX,2,0,THE
2024-08-29 12:30:00,FNC,1,2,ECS
