team_name,team_page_link,team_region,player_1,player_1_status,player_1_page_link,player_2,player_2_status,player_2_page_link,player_3,player_3_status,player_3_page_link,player_4,player_4_status,player_4_page_link,player_5,player_5_status,player_5_page_link,accomplishment_1,accomplishment_1_place,accomplishment_1_prize_pool,accomplishment_1_end_time,accomplishment_2,accomplishment_2_place,accomplishment_2_prize_pool,accomplishment_2_end_time,accomplishment_3,accomplishment_3_place,accomplishment_3_prize_pool,accomplishment_3_end_time,accomplishment_4,accomplishment_4_place,accomplishment_4_prize_pool,accomplishment_4_end_time,accomplishment_5,accomplishment_5_place,accomplishment_5_prize_pool,accomplishment_5_end_time,accomplishment_6,accomplishment_6_place,accomplishment_6_prize_pool,accomplishment_6_end_time,accomplishment_7,accomplishment_7_place,accomplishment_7_prize_pool,accomplishment_7_end_time,accomplishment_8,accomplishment_8_place,accomplishment_8_prize_pool,accomplishment_8_end_time,accomplishment_9,accomplishment_9_place,accomplishment_9_prize_pool,accomplishment_9_end_time,accomplishment_10,accomplishment_10_place,accomplishment_10_prize_pool,accomplishment_10_end_time,matches_played_in_the_last_year,matches_played_overall,winstreak
team-space,https://escorenews.com/ru/csgo/team/space,CIS,fozil,active player,https://escorenews.com/ru/csgo/player/fozil,TruNiQ,active player,https://escorenews.com/ru/csgo/player/truniq,X5G7V,active player,https://escorenews.com/ru/csgo/player/x5g7v,danistzz,active player,https://escorenews.com/ru/csgo/player/danistzz,H4SAN4TOR,active player,https://escorenews.com/ru/csgo/player/h4san4tor,ECL S47 – Europe,17,$500,2024-06-10,CCT S2 EU #3,5,$2000,2024-05-26,ECL S46 – Europe,7,$5500,2023-12-11,CCT S1 EEU #4,5,$2000,2023-11-18,WI S4,3,$2010,2023-10-08,CCT S1 EEU #1,1,$22000,2023-08-20,,,,,,,,,,,,,,,,,126,146,–
rebels-gaming,https://escorenews.com/ru/csgo/team/rebels-pol,Europe,innocent,active player,https://escorenews.com/ru/csgo/player/innocent,casey,active player,https://escorenews.com/ru/csgo/player/casey,olimp,active player,https://escorenews.com/ru/csgo/player/olimp,Flayy,active player,https://escorenews.com/ru/csgo/player/flayy,kisserek,active player,https://escorenews.com/ru/csgo/player/kisserek,EPL S17 – Division 1,3,$3000,2024-07-25,YGP 2024,4,$1081,2024-06-13,ECL S47 – Europe,13,$2000,2024-06-10,EI 2024 Spring,3,$2000,2024-05-18,ESL Melbourne 2024,3,$10000,2024-04-28,IEM Katowice 2024,13,$10000,2024-02-11,ECL S46 – Relegation,6,,2023-12-11,,,,,,,,,,,,,75,75,–
insilio,https://escorenews.com/ru/csgo/team/insilio,CIS,Polt,active player,https://escorenews.com/ru/csgo/player/polt,sugaR,active player,https://escorenews.com/ru/csgo/player/sugar-aze,FpSSS,active player,https://escorenews.com/ru/csgo/player/fpsss,faydett,active player,https://escorenews.com/ru/csgo/player/faydett,Pipw,active player,https://escorenews.com/ru/csgo/player/pipw,CCT S2 EU #8,5,$2000,2024-08-18,ESEA Advanced S49 – Europe,1,$7000,2024-06-11,CCT S2 EU #1,5,$2000,2024-05-04,ESEA Advanced S48 – Europe,5,$1250,2024-03-25,Buster CS2,3,$2500,2023-10-15,WI S4,1,$4020,2023-10-08,ECL S44 – Relegation,9,,2023-03-27,ESEA Advanced S44 – Europe,4,$2000,2023-03-21,FEC #1,1,$5000,2023-02-28,ECC Winter 2023 #4 – Europe,1,$3000,2023-02-19,124,220,2
gun5-esports,https://escorenews.com/ru/csgo/team/gun5,CIS,SELLTER,active player,https://escorenews.com/ru/csgo/player/sellter,tN1R,active player,https://escorenews.com/ru/csgo/player/tn1r,xiELO,active player,https://escorenews.com/ru/csgo/player/xielo,Sdaim,active player,https://escorenews.com/ru/csgo/player/sdaim,easy,active player,https://escorenews.com/ru/csgo/player/easy,EPL S18 – Division 1,1,$11000,2024-08-30,CCT S2 EU #5,5,$2000,2024-06-16,RCA CIS,5,$2500,2024-06-16,WPL S1,2,$3355,2024-06-09,CCT S2 EU #4,1,$22000,2024-06-02,HPC #8,1,$4339,2023-11-12,Buster CS2,3,$2500,2023-10-15,WI S4,2,$3015,2023-10-08,,,,,,,,,110,110,4
team-next-level,https://escorenews.com/ru/csgo/team/next-level,CIS,Ganginho,active player,https://escorenews.com/ru/csgo/player/ganginho,jabba2h,active player,https://escorenews.com/ru/csgo/player/jabba2h,onic,active player,https://escorenews.com/ru/csgo/player/onic,remorse,active player,https://escorenews.com/ru/csgo/player/142142,st0m4k,active player,https://escorenews.com/ru/csgo/player/st0m4k,Prodigy Series #1,2,$5000,2024-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,–
gamerlegion-academy,https://escorenews.com/ru/csgo/team/gamerlegion-academy,Europe,leaf,active player,https://escorenews.com/ru/csgo/player/57175,Goody,active player,https://escorenews.com/ru/csgo/player/Goody,Rud,active player,https://escorenews.com/ru/csgo/player/rud,Darber,active player,https://escorenews.com/ru/csgo/player/darber,Tree60,active player,https://escorenews.com/ru/csgo/player/tree60,United21 S13 – Division 1,1,$6000,2024-05-04,United21 S11 – Division 2,2,$1000,2024-03-09,United21 S8 – Division 2,2,$1000,2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,73,5
favbet-team,https://escorenews.com/ru/csgo/team/favbet-team,CIS,bondik,active player,https://escorenews.com/ru/csgo/player/bondik,Smash,active player,https://escorenews.com/ru/csgo/player/smash,Marix,active player,https://escorenews.com/ru/csgo/player/marix,j3kie,active player,https://escorenews.com/ru/csgo/player/j3kie,t3ns1on,active player,https://escorenews.com/ru/csgo/player/t3ns1on,Prodigy Series #1,3,$1500,2024-08-18,ESEA Advanced S49 – Europe,7,$750,2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,3
team-quazar,https://escorenews.com/ru/csgo/team/quazar,CIS,N4mb3r5,active player,https://escorenews.com/ru/csgo/player/n4mb3r5,Muk0s,active player,https://escorenews.com/ru/csgo/player/muk0s,tommy,active player,https://escorenews.com/ru/csgo/player/tommy-rus,gehji,active player,https://escorenews.com/ru/csgo/player/gehji,whisper,active player,https://escorenews.com/ru/csgo/player/whisper-rus,REC 2024,2,$2825,2024-08-25,Russian Cup 2022,1,$5087,2022-08-21,SCL S4 – Masters,3,$250,2022-05-25,SCL S3 – Masters,3,$300,2022-03-28,ESEA Intermediate S38 – Europe,2,$1500,2021-10-11,,,,,,,,,,,,,,,,,,,,,17,63,–
ninjas-in-pyjamas-impact,https://escorenews.com/ru/csgo/team/nip-impact,Europe,vilga,active player,https://escorenews.com/ru/csgo/player/vilga,ramziiN,active player,https://escorenews.com/ru/csgo/player/ramziin,Qiyarah,active player,https://escorenews.com/ru/csgo/player/qiyarah,Nayomy,active player,https://escorenews.com/ru/csgo/player/nayomy,aiM,active player,https://escorenews.com/ru/csgo/player/aiM-gb,SZEG 2024,5,$354,2024-06-09,ESL Impact S5 – Europe,7,$1250,2024-06-03,ESL Impact S4 – Europe,7,$1000,2023-12-10,ESL Impact S3 – Europe,5,$1250,2023-06-04,EICC Winter 2023 #3 – Europe,1,$750,2023-02-06,EICC Winter 2023 #2 – Europe,1,$750,2023-01-30,ESL Impact S2 – Europe,5,$1250,2022-11-27,,,,,,,,,,,,,18,50,2
navi-javelins,https://escorenews.com/ru/csgo/team/navi-javelins,Europe,D7,active player,https://escorenews.com/ru/csgo/player/d7,Angelka,active player,https://escorenews.com/ru/csgo/player/Angelka-pl,ASTRA,active player,https://escorenews.com/ru/csgo/player/ASTRA,vicu,active player,https://escorenews.com/ru/csgo/player/vicu,Hanka,active player,https://escorenews.com/ru/csgo/player/hanka,ESL Impact S5,5,$7000,2024-06-03,EPL FEM S1,1,$3500,2024-04-16,ESL Impact S4,2,$25000,2023-12-10,ESL Impact S3,2,$25000,2023-06-04,ESL Impact Katowice 2023,2,$20000,2023-02-12,EICC Autumn 2022 #4 – Europe,1,$750,2022-11-28,ESL Impact S2 – Europe,3,$2500,2022-11-27,ESL Impact Valencia 2022,3,$10000,2022-07-03,EICC Spring 2022 #6 – Europe,1,$750,2022-06-19,ESL Impact S1 – Europe,3,$2500,2022-06-06,27,71,–
